ref,base,aut,inc,oeu,incfr,gp,ndat,nlc,lc,sre,srcho,mc,cat,comp,dep,autsre,sui,autt,crit,neff,attr,nlitur,tex,num,nott,not,ded,sign,nsre,fcn,fcna,ncho,gnr,cho,cot,part,ed,arg,codinc,lien,intp,eff,instr,nrole,nc,nnc,role,inf,dat,rec,scat,cata,utxt,bibl,disc,cf,évnt,frag,srlitt,gnrt,trad,oeucit,pass,comm,mucont,jlbbur,img,n°img,noms,lcinst
16861202,# compte-rendu,,,,,,,,"CALAIS	PARIS, Couvent des Jacobins, rue Saint-Honoré, chapelle Saint-Hyacinthe	PARIS, Couvent des Théatins	SAINT-QUENTIN, Collégiale Saint-Quentin","Mercure Galant, décembre 1686, p. 38-39, 41-44",,célébration du retour de la santé	messe en musique	procession	litanies	vêpres	Exaudiat te Dominus,1686.12.02,,,,,,,,,,"Prières pour le Roy		[Pour rendre grâce à Dieu de l'entière guérison du Roi, plusieurs personnalités religieuses firent dire des Messes solennelles.]		Le Père Alexis du Buc, Supérieur des Théatins, a fait voir dans [cette] occasion, le zèle ardent dont il a donné des marques en beaucoup d'autres rencontres. Il fit chanter une Messe Solemnelle, à laquelle toute sa Communauté communia. L'Exaudiat fut aussi chanté à l'issuë de Vespres, & les Litanies à la fin de la Prière du Soir. Ces Prières furent continuées pendant neuf jours, & la Neuvaine se termina par une Messe en Musique de la composition de Mr Lorenzani, à laquelle plusieurs Personnes de qualité assistèrent. Ce fut encore le Père du Buc qui la célébra.		[Le Père Seguin, Prieur du Couvent des Jacobins de la rue Saint-Honoré, fit exposer la relique de saint Hyacinte que le roi avait déjà invoqué lors de sa maladie survenue à Calais, dans la chapelle de la communauté.] [...] On y a chanté pendant neuf jours une grand'Messe, & plusieurs autres Prières. [...] Le Père Seguin les fait encore continuer par une Procession qui se termine à la Chapelle du mesme Saint, où l'on chante les Litanies de la Vierge, & diverses Oraisons, avec une confiance & une ardeur singulière. [Le Chapitre] de la Ville de Saint Quentin en Vermandois, n'a pas montré moins d'ardeur pour la guérison du Roy. Il ordonna des Prières le 25 du mois passé, en action de grâce dans toute l'étenduë de sa Juridiction, & l'ouverture s'en fit le 27 par une Messe du S. Esprit, que chanta une excellente Musique dans l'Eglise principale. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LORENZANI, Paolo [1640-1713]	LOUIS XIV [1638-1715], roi de France	DU BUC, Alexis	SEGUIN, Antoine",,,,1686.11.25	1686.11.26,,16861202,,,,,,,,,,,"LORENZANI, P., Messe",,,,,,,,Chapitre de la collégiale Saint-Quentin	Théatins de Paris
16861201,# compte-rendu,,,,,,,,"AUTUN, Hôtel Saint-Chaumon	AUTUN, Séminaire de l'union chrétienne","Mercure Galant, décembre 1686, p. 10-11, 29-30",,musique de cérémonie religieuse	Pange lingua gloriosi corporis,1686.12.01,,,,,,,,,,"Discours prononcé par le Père Loüis de Nazareth		[...] Il s'est fait une Neuvaine fort solemnelle au Séminaire de l'union Chrestienne, étably à l'Hostel de S. Chaumont. La closture s'en fit le 28 du mois passé. Mr l'Evesque d'Authun y officia en Habits Pontificaux, & le Père Loüis Religieux Pénitent du Couvent de Nazareth, fit Discours qui fut fort admiré par tous ceux qui l'entendirent. Il prit pour son Texte ce Passage de la seconde Epistre de S Paul aux Corinthiens ; Gratias Deo super inenarrabilia dona eius. [...]		Avant ce Discours on avoit chanté le Pange Lingua, & aussi tost qu'il fut finy, on commença le Salut.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"NAZARETH, père Louis de	LA ROQUETTE, Gabriel de [1624-1707]",,,,1686.11.28,,16861201,,,,,,,,,,,,,,,,,,,
16861110,# compte-rendu,,,,,,,,"VERSAILLES, Château, appartement de marbre	VERSAILLES, Château, chapelle","Mercure Galant, novembre 1686, deuxième partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils on faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 319, 321-322",,messe en musique	tambour	fifre	diplomatie,1686.11.10,,,,,,,,,,"Les Ambassadeurs voyent le Roy en allant à la Chapelle & entendent la Messe de Sa Majesté		Le jour qu'ils allèrent à la Messe du Roy, on les plaça pour voir passer Sa Majesté dans la première pièce de l'Appartement de Marbre [...]		Après que les Ambassadeurs eurent veu passer ce Prince, qui estoit accompagné d'une fort nombreuse Cour, entre deux rangs formez par les Cent Suisses de la Garde, dont les Tambours & les Fifres se faisoient entendre ; ils furent conduits à la Tribune [de la Chapelle]. [...] Comme il estoit ce jour-là Dimanche, ils virent présenter le Pain bénit au Roy, & demandèrent qu'on leur expliquât ce que c'estoit que cette Cérémonie, & pour quoy on présentoit ce Pain. Ils écoutèrent la Musique avec attention, & parurent y prendre beaucoup de plaisir. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09]",,,,1686.11,,16861110,,,,,,,,,,,,,,,,,,,Garde suisse	Fifres des Cent Suisses	Tambours des Cent Suisses
16861109,# compte-rendu,,,,,,,,"VERSAILLES, Château, orangerie","Mercure Galant, novembre 1686, deuxième partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils on faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 130-131",,théâtre éphémère	diplomatie,1686.11.09,,,,,,,,,,"Description de l'Orangerie		[...] On y peut alors joüir d'une agréable fraîcheur, & y prendre toutes sortes de divertissemens que peut fournir le Théâtre, sans estre incommodé de la chaleur. On pourroit mesme y joüer des Opera a plus d'un endroit en mesme temps, sans que ceux qui les représenteroient, s'incommodassent les uns les autres. C'est ce qui fit dire au premier Ambassadeur, que la magnificence du Roy estoit grande, d'avoir fait un si superbe Bâtiment pour servir de Maison à des Orangers. Il ajoûta qu'il y avoit bien des Roys qui n'en avoient pas de si belles. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09]",,,,1686.11,,16861109,,,,,,,,,,,,,,,,,,,
16861108,# compte-rendu,,,,,,,,"VERSAILLES, Château, parc, grand canal	VERSAILLES, Château, parc, bassin d'Apollon","Mercure Galant, novembre 1686, deuxième partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils on faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 105-106",,diplomatie	musique de plein air	timbale	trompette,1686.11.08,,,,,,,,,,"Promenade des Ambassadeurs sur le Canal [de Versailles] avec sa description		[Cet article s'inscrit dans une description générale des jardins de Versailles]	Après avoir consideré [le bassin d'Apollon], [les Ambassadeurs] montèrent dans la Galère qui est sur le Canal. Toutes les Gondoles & tous les autres Bâtimens les accompagnèrent avec tous leurs ornemens, & agrez, & ces Bastimens estoient remplis de Timbales, de Trompetes, & de divers autres instrumens qui ne cessèrent point de joüer tant que les Ambassadeurs furent sur le Canal. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09],,,,1686.11,,16861108,,,,,,,,,,,,,,,,,,,
16861107,# compte-rendu,,,,,,,,"PARIS, Hôtel des Ambassadeurs	PARIS, Académie royale de musique","Mercure Galant, novembre 1686, deuxième partie, Voyage des Ambassadeurs de Siam en France, Contenant la récéption qui leur a esté faite dans les Villes où ils ont passé, leurs Entrées dans Paris, les Cérémonies observées dans l'Audience qu'il ont euë du Roy & de la Maison Royale, les Compliments qu'ils ont faits, la Description des Lieux où ils ont esté, & ce qu'ils ont dit de remarquable sur tout ce qu'ils ont veu, p. 28-31",,diplomatie	carrière d'une oeuvre dramatique	pastorale héroïque,1686.11.07,,,,,,,,,,"Opéra et ce [que les ambassadeurs de Siam] en ont dit		Mr de Lully ayant esté les voir [...] [les Ambassadeurs] le prirent de dîner avec eux, si tost qu'ils eurent appris l'estime dont le roy l'honore, & cause de la beauté de son génie pour tout ce qui regarde la Musique. Ils se rendirent à l'Opéra, & Mr de Lully les receut à la porte de l'Académie. Comme on représentoit celuy d'Acis & de Galatée dans lequel il n'y a point de Machines, on leur dit pendant la représentation, Que ces sortes de Spectacles estoient ordinairement plus grands que celuy qu'ils voyoient, parce que celuy là avoit esté fait représenter dans un lieu où il n'y avoit point de Sale, & qu'on leur expliqua mesme la Feste pour laquelle ce Divertissement avoit esté fait. Le premier Ambassadeur dit Que le Spectacle dont il estoit témoin, & ce qu'on luy disoit des autres Opéras luy faisoit concevoir de grandes choses de ce qu'il ne voyoit pas, s'il estoit vray pourtant que l'on pust rien faire de plus beau en ce genre-là. Il marqua pendant la représentation qu'il en comprenoit le Sujet, & dit des choses fort galantes là-dessus. Ce qu'il dit à Madamoiselle Rochois, qu'il alla voir après l'Opéra à l'Hostel des Ambassadeurs, fait bien connoistre qu'il l'avoit compris. Il la fit asseoir, & luy dit Qu'ils ne pouvoient faire trop d'honneur à la Fille du Dieu de la Mer, & qu'ils avoient besoin d'elle, afin qu'elle calmast les flots à leur retour, & leur fist faire une Navigation heureuse.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LULLY, Jean-Baptiste [1632-1687]	LOUIS XIV [1638-1715], roi de France	LE ROCHOIS, Marthe-Marie [1658-1728]	AMBASSADEUR DU SIAM À LA COUR DE FRANCE [1686.09]",,,,1686.11,,16861107,,,,,,,,,,,"LULLY, J.-B., Acis et Galatée",,,,,,,,Académie royale de musique
16861106,# compte-rendu,,,,,,,,FONTAINEBLEAU,"Mercure Galant, novembre 1686, p. 317-319",,comédie française	comédie italienne	carrière d'une oeuvre dramatique	concert	chasse	jeu	divertissement royal,1686.11.06,,,,,,,,,,"Voyage du Roy à Fontainebleau		Je ne vous parle point du Voyage que la Cour a fait à Fontainebleau ; vous devez estre persuadée qu'on y a fait régner les Plaisirs tant qu'elle y a demeuré. La Promenade, la Chasse, le Jeu, la Paume, Les Apartemens, la Comédie Italienne, & Françoise, ont fait alternativement le sujet des Divertissemens qu'on y a pris. Le Roy a agit incessamment pour le bien de l'Estat, s'est depuis quelques années retranché la plus grande partie de ces plaisirs afin de s'appliquer entièrement aux Affaires. Mr Boësset, Surintendant de la Musique de la Chambre du Roy, qui sert le Semestre de Janvier, ayant mis un Opéra en Musique, cet Opéra a esté représenté à Fontainebleau en forme de Concert, & Sa Majesté a bien voulu l'entendre, mais Elle n'en faisoit représenter qu'un Acte chaque soir, afin d'estre moins détournée de ses ordinaires occupations. La Musique en a esté trouvée excellente, & le Roy a marqué à Mr Boësset par des paroles obligeantes qu'il en estoit extrêmement satisfait [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	BOESSET, Claude-Jean-Baptiste [1664-1703]",,,,1686.11,,16861106,,,,,,,,,,,"BOESSET, Cl.-J.-B., Alphée et Aréthuse",,,,,,,,
16861105,# compte-rendu,,,,,,,,,"Mercure Galant, novembre 1686, p. 291-294",,galanterie	fiction	disposition pour la musique	théorbe	tragédie-ballet	sociabilité musicale,1686.11.05,,,,,,,,,,"Nouvelles Lettres du Chevalier d'Her...		Au reste, il faut que j'avoüe que je me suis trompé dans la pensée que j'ay eüe que je pourrois découvrir l'Auteur des Lettres qui sont imprimées sous le nom de Mr le Chevalier d'Her... Celle que je vous envoyay le dernier mois, marquoit que ce Chevalier, véritable ou faux, avoit commerce avec une jeune Pensionnaire de Couvent. Je connois un Cavalier plein d'esprit & de mérite, qui a ce mesme commerce, & je m'estois figuré que c'estoit luy que je cherchois ; mais cela ne sçauroit estre, puisque la personne à laquelle il rend des soins, est actuellement dans un Couvent, & qu'il paroist par quatre ou cinq Lettres qu'on m'a fait voir de nouveau du Chevalier d'Her... que la Pensionnaire en question, a quitté la Grille, qu'elle est dans le monde, où sa beauté fait fracas, & qu'elle apprend à chanter & à joüer du Thuorbe ; ce qui ne s'accorde point avec ce que j'avois soupçonné. Il y a mesme une de ces Lettres qui marque d'une manière tout à fait galante l'extrême surprise qu'elle eut la première fois qu'on luy fit voir l'Opéra, & que cet Opéra estoit Psyché. Cela fait connoistre qu'il y a déjà longtemps que ces Lettres ont esté écrites, puisque cet Opéra de Psyché n'a point esté représenté depuis quatre ou cinq années. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"FONTENELLE, Bernard Le Bovier de [1657-1757]	LULLY, Jean-Baptiste [1632-1687]",,,,1686.11,,16861105,,,,,,,,,,,"LULLY, J.-B., Psyché	FONTENELLE, B. Le Bovier de, Lettres du chevalier d'Her...",,,,,,,,
16861104,# compte-rendu,,,,,,,,"PARIS, Palais du Parlement, chapelle de la grande salle	PARIS, Palais du Parlement, salle des Marchands","Mercure Galant, novembre 1686, p. 235-236",,messe en musique,1686.11.04,,,,,,,,,,"Ouverture du Parlement		[Cet article décrit la cérémonie annuelle d'ouverture du Parlement de Paris traditionnellement fixée au lendemain de la S. Martin. Cette séance se déroule] dans la grande Salle du Palais, c'est à dire dans la Salle des Marchands dans laquelle il y a une Chapelle [...] La Messe se chante en Musique, & elle est toujours célébrée par un Evesque, qui en est prié quelques jours auparavant, de la part du Parlement. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,,,,,1686.11,,16861104,,,,,,,,,,,"non identifié, Messe en musique",,,,,,,,Parlement de Paris
16861103,# compte-rendu,,,,,,,,"FONTAINEBLEAU	LE HAVRE, Chez Mr Habert de Montmor","Mercure Galant, novembre 1686, p. 72-85",,naissance d'un prince	célébration du retour de la santé	concert	musique de réjouissance publique	comédie	célébration d'une naissance princière	violon	flûte	tambour	trompette	timbale	théâtre éphémère	musique de table	bal	masque,1686.11.03,,,,,,,,,,"Réjoüissances faites au Havre de Grâce.		Comme toutes les choses dont la cause est bonne & l'effet agréable, doivent toûjours estre estimées, quoy qu'arrivées entre des particuliers, sur tout lorsqu'ils sont d'une qualité qui les distingue, je croy que je puis vous faire sçavoir ce qui s'est passé au Havre de Grâce la veille & le jour de S Martin. La parfaite santé dont le Roy joüissoit à Fontainebleau, & le souvenir encore récent de la naissance de Monseigneur le Duc de Berry ayant disposé tous les esprits à la joye, Mr le Duc de Saint Aignan, qui se trouve dans son Gouvernement, & dans la Ville du Havre, où il ne s'estoit encore rien fait d'assez éclatant pour célébrer ces deux Festes, & marquer le zèle qu'il sçait si bien inspirer dans le coeur des Peuples, sur tout ce qui regarde Sa Majesté, donna un disner la veille de la S Martin à Mr de Montmor, Intendant géneral de la Marine de la Province de Normandie, que la délicatesse, l'abondance, & la propreté de la table qu'il tient ordinairement au Havre, ne rendirent pas moins délicieux, que la Compagnie de Cavaliers & de Dames qui s'y rencontra. Le reste du jour fut employé en Concerts, promenades, & autres divertissemens, qui ne manquèrent point dans la Maison de ce Duc. Le lendemain jour de la S. Martin, ce Gouverneur accompagné de Madame la Duchesse de S Aignan, & d'une suite nombreuse de Gentilshommes, d'Officiers & de Dames des plus qualifiées de la Province, s'estant rendu sur les cinq heures du soir chez Mr de Montmor, où il estoit prié de souper, fut receu au son des Tambours, Trompettes, Timbales, & d'un grand bruit d'artillerie, par cinquante à soixante Officiers de la Marine lestement vestus, qui l'attendoient dans la Place qui est vis à vis de la Maison de Mr de Montmor, où il vit avec une surprise agréable une très belle Illumination qui éclairoit toute la façade du logis. [...]  Le bruit des Trompettes & des Tambours céda à un Simphonie charmante qui estoit dans un Salon, d'où toute la Compagnie a esté conduite dans un Apartement richement meublé, elle trouva dans une des Salles un Théâtre dont les décorations estoitent d'Azur semées de Fleurs de Lys. On y représenta une Comédie. Les Dances qui suivirent furent accompagnées de Concerts meslez de Simphonie qui durèrent prés de deux heures, après quoy on descendit dans une Salle très parée & fort éclairée, où estoit un Dais sous lequel on avoit mis le Portrait du Roy, & où se trouva un magnifique Buffet à deux Tables. [...] Il y eut pendant le Soupé une Simphonie de Flûtes & de Violons très agréable. Elle fut interrompuë par les Timbales & les Trompettes qu'on entendoit lorsqu'on beuvoit les Santez. Le Soupé ne fut pas plûtost finy, qu'on présenta à Madame de S. Aignan une Lance à feu avec laquelle elle alluma un Dragon par la fenestre de la Salle. Ce Dragon alla embraser un Feu d'artifice qui estoit dans la court, & après ce premier spectacle, on monta en haut pour voir le Feu d'artifice qui estoit préparé sur la Place vis à vis de la Maison de Mr de Montmor, où le Peuple attendoit patiemment en se désalterant à des Fontaines de vin qui estoient aux costez de la face du logis, & en dançant au bruit de mille cris de joye. Rien n'estoit mieux imaginé que ce Feu, dont les ornements & le dessein estoient sur les Victoires du Roy, & particulièrement sur l'Extirpation des l'Hérésie. La Religion, la Victoire, & la Renommée paroissoient en l'air tenant un Enfant couronné, dont le Maillot estoit semé de Fleurs de Lys, qu'ils élevoient à un Soleil fort brillant, en luy montrant plusieurs actions mémorables de LOUIS LE GRAND. Elles faisoient la Décoration de ce feu avec plusieurs Anges, dont les Epées flamboyantes chassoient l'Hérésie & tous les Vices. Le Bal commença ensuite. Il y eut plusieurs Entrées de Masques très galantes ; on y fit mesme des Sauts périlleux, & plusieurs jeunes gens de la Ville pour divertir cet Illustre Gouverneur qui estoit vestu très sobrement, dansèrent des Danses qui sont ordinaires sur les Ports de Mer & qui luy parurent très divertissantes. On y distribua en abondance toutes sortes de liqueurs, & tous ces plaisirs qui avoient commencé à cinq heures, ne finirent qu'après minuit. [...] Tous ces divertissemens estant finis, [le duc de Saint Aignan] fut conduit dans la Citadelle avec les Trompettes & les Tambours qui se mesloient aux cris de Joye, & de Vive le Roy que tout le Peuple poussoit, & qui sont les honneurs qu'on rend sur les Vaisseaux de Sa Majesté",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"BERRY, Charles de Bourbon [1686-1714], duc de	SAINT-AIGNAN, François de Beauvillier [1610-1687], duc de	LOUIS XIV [1638-1715], roi de France	SAINT-AIGNAN, Antoinette Servien [?-1679], duchesse de	HABERT DE MONTMOR, Jean-Louis [1648-1720]",,,,1686.11,,16861103,,,,,,,,,,,,,,,,,,,
16861101,# compte-rendu,,,,,,,,"PARIS, Cathédrale Notre-Dame	VERSAILLES, Rue de Paris	VERSAILLES, Rue Dauphine	VERSAILLES, Place Dauphine	VERSAILLES, Église Notre-Dame","Mercure Galant, novembre 1686, p. 13-22",,consécration d'une église	procession	cloche	translation de reliques,1686.11.01,,,,,,,,,,"Détail des Cérémonies observées le jour que l'on consacra l'Eglise Paroissiale de Versailles [...] située dans la Ruë de paris, en face de la Ruë Dauphine, par laquelle on entre dans la Place du mesme nom, avec la Description de cette nouvelle Eglise, & du Bastiment des Prestres de la Mission.		[...] Ce que j'ay à vous dire de nouveau regarde la Paroisse de Versailles que [le Roi] a fait élever à ses dépens ; en sorte que par les soins qu'il apris d'en faire fournir les fond nécessaires, ce grand Ouvrage, si digne de celuy qui l'a fait construire, a esté commençé & achevé en deux années, aussi-bien que les beaux & grands logemens des Prestres de la Mission qui doivent desservir l'Eglise. Toutes choses ayant esté mise en estat pour la consacrer, Mr l'Archevesque de Paris donna permission le 26 Octobre dernier à Mr l'Evesque de Bethlèem d'en faire toutes les Cérémonies. Le jour en fut indiqué le lendemain Dimanche au Prosne de la grande Messe, pour le Mercredy 30 du mesme mois. Le Lundi 28 Mr l'Evesque se rendit à Versailles accompagnez de Mrs les Abbez de la Mothe & de la Roche, l'un Archidiacre, & l'autre Chanoine de Nostre-Dame de Paris, tant pour observer le Jeune qui avoit esté ordonné pour le jour suivant, à tous les paroissiens de cette nouvelle Eglise, que pour faire dès la veille toutes choses prescrites par le Pontifical. Le 30 la Cérémonie fut annoncée au Peuple à quatre heures du matin par le son des Cloches, & elle commença sur les sept heures en cette manière. Mr l'Evesque de Bethléem s'estant rendu à l'ancienne Eglise Paroissiale, y prit les Habits Pontificaux, & précédé de plus de quarante Prestres de la Mission, & de Mr Jolly leur Général, outre plusieurs Curez des environs, il en sortit processionnellement, ayant toûjours près de luy Mr l'Abbé de la Mothe [...] Il y laissa les Reliques qu'on y avoit déposé le jour précédent & après que l'on eut fait l'Eau-bénite à la porte de la nouvelle Eglise, on fit en dehors les Aspertions tout autour jusqu'à trois fois avec les Prières propres pour une pareille Cérémonie. En suite on reïtera en dedans les mesmes Prières, & les mesmes Aspersions avec l'Alphabet Grec & Latin que Mr l'Evesque écrivit avec le bout de sa Crosse sur la cendre que l'on avoit répanduë en croix sur le pavé ; & après beaucoup de Prières, d'Aspersion & d'Encensemens faits sept fois autour de l'Autel qui devoit estre consacré, on retourna à l'ancienne Eglise prendre les Reliques de Saint Julien & de Saint Jucombe Martirs, qui en estoient les Patrons, & on les porta en Procession autour de la nouvelle. Avant que d'y entrer, Mr l'Evesque se mit sur un Fauteüil à la Porte, & fit un fort beau Discours sur cette Cérémonie. Il le finit par les loüanges du Roy [...] Après cela on rentra dans l'Eglise, où les Reliques furent enfermées dans le Sépulcral de l'Autel, avec une pierre que Mr l'Evesque scella à la chaux & au sable. La Consécration ou Dédicasse fut faite sous l'Invocation de la Vierge [...] & après d'autres Cérémonies ausquelles Mr Bontemps fut toûjours présent, l'on retourna encore une fois à l'ancienne Eglise d'où l'on apporta le Saint Sacrement sous un magnifique Dais. Les Rües estoient tenduës de tapisseries de la Couronne, & les Récolets précédèrent le Clergé Séculier à cette Procession, à laquelle tous les Confrères du Saint Sacrement assistèrent avec un Cierge blanc à la main. Madame la Maréchale de la Mothe & quantité d'autres personnes s'y trouvèrent, aussi bien qu'à la Messe qui fut chantée Pontificalement par Mr l'Evesque de Bethlèem, revestu des ornemens précieux que le Roy a donnez à cette Eglise. [...] La Cérémonie ne finit qu'à deux heures après midy. [...]	[Suit la description de l'architecture de l'église]",,,,,Camille Tanguy	Benoît Michel	Thomas Vernet,,,,,,,,,,,,,,,,,"COQUART DE LA MOTHE, Mr [?-1689], archidiacre de Paris	HARLAY DE CHAMPVALLON, François de [1625-1695]	LOUIS XIV [1638-1715], roi de France	BONTEMPS, Alexandre [1626-1701]	BATAILLER, François de [?-1701]	LA ROCHE, Mr de [chanoine de Notre-Dame de Paris]	VENTADOUR, Charlotte-Éléonore-Madeleine de La Mothe-Houdancourt [1651-1744], duchesse de	JOLY, Bénigne [1644-1694]",,,,1686.10.26	1686.10.28	1686.10.30,,16861101,,,,,,,,,,,,,,,,,,,Confrérie du Saint-Sacrement de l'église Notre-Dame de Versailles	Missionnaires de Versailles	Récollets de Versailles
